Date,Text,Car
2023-10-24,all the vw id cars do that in d mode while having the benefit of regen kicking in when the sensorsgps detect cars bends roundabouts etc,Jeep Avenger
2023-10-24,andrewhelgecox yes but this takes effort and you cant do it as well as just lifting your foot,Jeep Avenger
2023-10-24,"fusflash1 well  yes and no we have had 2 egolfs and they did this but our id4 only does it on the highway on smaller roads it has variable regen on down slopes and only coasts on level ground which misses much of the point

hyundai and kia evs have coasting modes which is great but they default back to mild regen each time you start the car",Jeep Avenger
2023-10-24,neilblanchardwe have a us kona ev and at startup my wife puts it into sport and reduces regen to 0 with the right regen paddle  i drive eco which i have saved to 3  the option is good  and lane keep is off because my wife found it annoying we dont have acc or lane following,Jeep Avenger
2023-10-24,fusflash1 my 2022 eniro does that to and ive got flappy paddles to make changing the regen easy,Jeep Avenger
2023-10-24,andrewhelgecoxin our nissan leaf i try to hold the pedal in a coasting position by seeing that the instrument report neither consumption nor regen but its at best a guess difficult to hold and not even at a fixed point in the pedals travel so its a complete pain if you go straight from power to regen you are sacrificing energy to the inefficiency of the motor twice so you do not get back what you used around town one pedal driving is nice and easy but for efficiency what i want is at least the option to coast on lift off but have regeneration triggered by the brake pedal only bringing in the friction brakes when the motor cant slow you fast enough and in contrast to the muttering rotters i would like a nice clear change in pedal feel at that point so that i can learn how much i can slow without bringing the friction brakes in im pretty sure kiahyundai cars can do this without the clear change in pedal feel but i wish reviewers would report on every cars ability to do it its not easy informs to find,Jeep Avenger
2023-10-24,neilblanchard my id3 behaves most of the time correctly with the eco assist option on regen on down slopes kicks in only if it reaches the speed limit otherwise it coasts well i have to agree that it is not perfect and sometimes it does not know what to do,Jeep Avenger
2024-04-13,"yes i have an mg zs i dont mind working the pedals to work it to coast 
i have found weakest regen setting lets me coast moreso buuut on my testing i get less back than moderating it myself",Jeep Avenger
2023-10-24,never an suv never ever maybe a crossover but not likely,Jeep Avenger
2023-10-24,whilst the jeep is close to 40000 and it sounds like a very large sum for a small car there may be a way to bring that down to a more manageable amount i have a similar citroën ec4 and new it was just over 36000 however  i lease it for just 265mth after placing 1250 as a deposit  it is a totally practical family runabout  maybe in a few months this jeep could be leased for around 300mth please note that my previous petrol bill was 150mth and my electric bill is around 40mth saving 100mth you could argue this off the lease cost so a new jeep for around 200mth cheap efficient  and stylish motoring,Jeep Avenger
2023-10-24,or a new ec3 for 23k on the road,Jeep Avenger
2023-10-25,rcajavus8141  indeed the ec3 could be a best seller when it comes out in 2024 hopefully it wont be too small,Jeep Avenger
2023-10-24,regardless of your enthusiasm  from a financial point of view none of this electric car make any sense at all which is why the electric car industry is in the trouble  that it is right now in right now this car is overpriced by at least 20k,Jeep Avenger
2023-10-24,everyone crazy about 20000 units ordered since 2022  full ev version,Jeep Avenger
2023-10-24,everyone  ,Jeep Avenger
2023-10-24,thanks jack sharp indeed,Jeep Avenger
2023-10-24,my parents bought a suzuki ignis recently its so practical it makes a lot of sense to build a car which is shaped like an suv but the size of a hatchback you get extra room and height but without the footprint,Jeep Avenger
2023-10-25,no you get way more room and height internally if you have an actual hatchback instead of a crossover suvs and crossovers have many drawbacks and zero benefits a hatchback more room even if they are smaller and if it doesnt have enough room get an estatestation wagon all the while being far lighter and easier to get in and out of,Jeep Avenger
2023-10-25,"zarlanthegreen im not sure what youre basing that on im pretty certain the ignis is a lot roomier than hatchbacks with a comparable footprint like the swift or the hyundai i10

when i say height i mean driving position i dont know about the headroom",Jeep Avenger
2023-10-25,"andybrice2711 i checked and the ignis only has four seats unlike the other cars you mention it has a little more space in the boottrunk but not nearly as much as the space in the fifth seat of the other two cars
as for having a higher position
that has no notable actual benefit",Jeep Avenger
2023-10-25,love an ignis me,Jeep Avenger
2023-10-25,"ahh yeah it is a shame they removed the 5 seat option the boot is pretty huge though

i vastly prefer the high driving position firstly the seats are at buttock height so you dont have to climb in and out

secondly im sure its easier to judge distances when youre higher up ive heard people claim that science says otherwise but im entirely unconvinced by their reasoning stereoscopy plus triangulation seems a lot more effective than stereoscopy alone both intuitively and logically",Jeep Avenger
2023-10-26,andybrice2711 it has less space for luggage compared to the hatchbacks you mentioned so youre clearly wrong there and triangulation is obviously used with all vehicles so you have no leg to stand on there and you think you personal 100 subjective and biased experience is better than several independent rigorous investigations of countless carsdrivers that do their best to eliminate bias and confounding variables i dont even need to point out the issue there,Jeep Avenger
2023-10-26,"zarlanthegreen nah i just looked it up the ignis does have a larger boot granted only slightly larger by volume though but i think it is also a lot more cuboidshaped so it can more efficiently hold boxes and cases

it is possible that my sense of better depth perception is all psychological and really its just my dumb monkeybrain feeling _big thing above me  scary small thing below me  fine_

but that doesnt seem to add up to me like obviously whenever anyone wants to position their vehicle accurately they look at the ground to triangulate when youre finely judging the distance to the vehicle in front you look at the back wheels or bumper when youre parking in a tight space you might tilt the mirrors down to see the wheels and bumpers relative to the ground

maybe there are other nuances or factors i havent considered im always up for being convinced by empirical evidence that my perception of the world is completely distorted but so far i havent seen anything with enough rigour to persuade me that triangulating object positions relative to the ground is purely habit and doesnt actually work",Jeep Avenger
2023-10-24,amazing vehicle like the ford explorer electric which is also not coming to north america brilliant,Jeep Avenger
2023-10-24,youre british afaik how on earth did you miss vauxhall off your list off stellantis sub brands mr motoring journalist ,Jeep Avenger
2023-10-24,this mans rings are pissing me off for some reason,Jeep Avenger
2023-10-24,the electric hyundai kona  eniro are better than the avanger in every way more efficency more range torque and power  this jeep is overprice,Jeep Avenger
2023-10-24,"notes from an avenger owner
333 jeep avenger is either pure petrol or full electric the fiat 600 will have a hybrid variant
654 the reversing camera doesnt have any protections so mud dust or rain will make it sorta useless requiring you to get out and cleandry it
1501 there are no climate control in the back not even a duct from the front so whoever is in the back needs to rely on the front heated seats for comfort in the winter or whatever gust of wind from the main hvac outlets on the dash in the summer

your car seems to be equipped with the optional leather  electric control seats id love to hear feedback on them my first edition couldnt be specced with them and every local dealer wouldnt stock them so it has been a nagging thought since ordering it if they are any good or not",Jeep Avenger
2023-10-24,mild hybrid or bev,Jeep Avenger
2023-10-25,stevenjones916 the 12 gse t3 or puretech if you prefer psa branding engine doesnt even have the mild hybrid part its a simple petrol engine,Jeep Avenger
2023-10-24,awesome,Jeep Avenger
2023-10-24,nice review jack please keep railing against the socalled driver aids until the motor industry gets the message that we just dont want this nonsense,Jeep Avenger
2023-10-24,love that its cheap to run but how much will i sell it for in 10 years time when the battery needs replacement,Jeep Avenger
2023-10-24,ncap are already working on taming down the adas options  configurability,Jeep Avenger
2023-10-24,so jeep is how stellantis is bringing peugeot and vauxhall to america  cool,Jeep Avenger
2023-10-24,jack aka lord of the tombac rings,Jeep Avenger
2023-10-24,simply absurd that its not being sold in the us,Jeep Avenger
2023-10-24,us safety regulation mandates that all vehicles should be able to mow down cyclists without them suffering this doesnt pass the test as it barely cripples them,Jeep Avenger
2023-10-31,stla figures avenger would tarnish the brand,Jeep Avenger
2023-11-02,it is an insult to jeep brand,Jeep Avenger
2023-11-22,stellantis would be sued out of existence in a year,Jeep Avenger
2023-10-24,can you test the range as none of these ev s for 1000s of pound get the range they are advertised   most get only 50 to 70 of their range   that is just false advertising  and people cannot waste there money  what is the insurance on them not a very helpful program,Jeep Avenger
2023-10-24,why can all electric cars get the outside looking so good but the dash is just an ipad glued on,Jeep Avenger
2023-10-24,no way at that price,Jeep Avenger
2023-10-24,still too wide still to compromised still to costly,Jeep Avenger
2023-10-24,make the indicator noise sound like the blasters on a star wars walker pew pew pew pew  id have that,Jeep Avenger
2023-10-24,now were talking,Jeep Avenger
2023-10-24,"40k kona is still top of my list gonna be a few more years until electric is in my purview
electricheads say purview
its not the batteries that are expensive  you know where i got that from this channel  so the mind boggles where the money is going
edit great review team ",Jeep Avenger
2023-10-24,purview,Jeep Avenger
2023-10-24,its an import the price is set by the automotive cartels in china a model 3 is 28k because the excellent chinese evs are both better and cheaper if china brought those prices to the uk the govt would add an import tax to bring them up again oh 40k is the threashold for tax as well also given the lack of servicing the dealers need extra  on the sale,Jeep Avenger
2023-10-24,theyll never be cheaper than they are right now prices generally dont go down yes i know tesla just slashed their prices but that just shows they were charging too much to begin with,Jeep Avenger
2023-10-24,the price of new tech always go down think laptop computers digital cameras large flat screen tvs etc etc etc evs are the same we are just going through the initial stage of high price small enthusiast driven demand wait 510 years and prices will plummet,Jeep Avenger
2023-10-24,not true  costs to build these are falling  and competition in the market will drive prices down always happens,Jeep Avenger
2023-10-24,scotts comment sounds exactly like a car salesman convincing a poor family to buy outside their means ,Jeep Avenger
2023-10-24,full length shelf eh like a siii land rover from about 1971 somewhere you can put stuff that doesnt slide into the footwell the first corner you go round i approve,Jeep Avenger
2023-10-24,erm440 grand 40 grand isnt that like   the price of the base tesla model 3 cute as this isseriously,Jeep Avenger
2023-10-24,very extreme jack ,Jeep Avenger
2023-10-24,so gnarly,Jeep Avenger
2023-10-24,in europe volvo ex30 is more powerful and with a rear wheel drive at the same price it also has opd and it is a more premium brand i think jeep is overpriced,Jeep Avenger
2023-10-24,1100 for any metallic colour on the summit model the other options arent cheap either avarice is the biggest turn off for car buyers,Jeep Avenger
2023-10-24,thanks jack ,Jeep Avenger
2023-10-24,fullchargedshow  1635  will you please do a ten minute full on explanation of what jack is talking about  thank you,Jeep Avenger
2023-10-24,im seriously considering doing this,Jeep Avenger
2023-10-24,"but to summarise euro ncap wont give a 5 star rating without lane keep assist or if it can be switched off just by pressing a button i think  and they require that it has to be turned back on every time you restart the car jeep have been clever because the button opens the screen where you can turn it off so 2 presses required and 5 rating preserved 

the nissan ariya has got lka right though you can set your own preference for both sensitivity and intrusiveness on the lowest level of intrusiveness it doesnt yank the wheel at all just makes it vibrate so it wont cause an accident but it might still help prevent one as it is supposed to and the best bit is those settings can be chosen once and theyll be retained unlike turning it off altogether",Jeep Avenger
2023-10-24,40k no way i get this over a volvo ex30 which is what i likely move to from my peugeot e208 shameful that stellantis doesnt have 1pedal driving by now,Jeep Avenger
2023-10-24,ex30 review inbound shortly ,Jeep Avenger
2023-10-24,jackscarlett1 dead chuffed about that,Jeep Avenger
2023-10-24,you tell it jack  ive got a 2020 kia niro ev and theres no way to turn off lane keep assist other than turning off the cruise control  i love my car i love adaptive cruise control but the two features on my car that makes it considerably worse are lane keep assist and the backup alert sound which on my year  model is unreasonably loud,Jeep Avenger
2023-10-24,i dont understand what youre saying i have a 2019 enirol here in france one of the first to come into the country and i can turn off lca using a button just to the left of the steering wheel the problem is that the button is obscured by the steering wheel cruise control default is off and lca still works when cruise is off,Jeep Avenger
2023-10-24,kiaenirodiariesencore4270  in us models that button does not exist,Jeep Avenger
2023-10-24,8antipode9 reallyso you cant turn it off at all i live in rural france which has mostly empty back roads some with white lines down the middle some not if the road has a white line the lca is a pain so i turn it off the button cannot be seen from the driving position but ive had the car nearly 5 years now so i know where to hit it hope yours has been good ours is at 91000 km now55000 milesand its been rock solid so far,Jeep Avenger
2023-10-24,kiaenirodiariesencore4270 if the cruise control is on then the lane keep is on so technically yes you can turn it off  its a real nuisance when you pass by an off ramp and the car sees that shoulder line running off and the wheel gently jerks to try and send you down the offramp  i spent a while googling to figure out a way to use cruise without lane keep and it does not seem to be possible also where i learned of the button on the eu models  overall though i love my car and would say hands down its the best car ive ever owned,Jeep Avenger
2023-10-25,you can turn it off press and hold the lda button its the same for all of hyundaikia products,Jeep Avenger
2023-10-25,hold down the lda button on the steering wheel its there,Jeep Avenger
2023-10-25,dreadpirateflappy  hmmm im sure i tried that  ill try it again next time im on the highway  i will be overjoyed to be wrong,Jeep Avenger
2023-10-24,the new toyota prius comes on all wheel drive but not this jeep  the worlds turning upside down,Jeep Avenger
2023-10-24,wait 6 months and pray jeep isnt reliable,Jeep Avenger
2023-10-24,is this supposed to be real technology that makes sense because it sure has a lot of compromises for something that makes absolutely no sense like they deliberately made it lame to make it feel real i stink therefore i am,Jeep Avenger
2023-10-24,i am not sure why stellantis has chosen to make any of these city cars  it dilutes the brand  im not saying this car shouldnt exist but it should be a dodge or something  i suspect it has to do with regulatory compliance,Jeep Avenger
2023-10-24,"its a jeep no 40k no no no 
as for car of the year how much did they pay for that",Jeep Avenger
2023-10-24,far too expensive no additional value over the competition will sell some to enthusiasts but the rest of us will not buy it,Jeep Avenger
2023-10-24,theres more important points at hand it doesnt matter how efficient or cheap evs become markets are forcing better battery technology to constantly be produced the big energy companies are never going to lose out so the price of electricity will continue to rise until it costs the same or more as running a petrol or diesel your home energy bills will continue to sky rocket and will rise more and more as renewables grow make a program about the problem in hand,Jeep Avenger
2023-10-24,hmmi thought that the prices of electricity are actually going down as more companies move to using renewable options  in any case ive got a solar install on my house so i dont really care that much about what prices the big energy companies want to charge for electricity,Jeep Avenger
2023-10-24,ill be surprised if they sell many at that price,Jeep Avenger
2023-10-24,getting serious huh hes still horizontal ,Jeep Avenger
2023-10-24,its good at being a car but pretty terrible at being a jeep you couldnt go green laneing in it you cant fit a winch and rock sliders its not a jeep its a branding exercise for people who care about marketing more than they care about the vehicle stellantis should put one of their many other brands on it and then itll be fine,Jeep Avenger
2023-10-24,is the merger to reduce costs or increase profits,Jeep Avenger
2023-10-24,both i suppose,Jeep Avenger
2023-10-24,too expensive,Jeep Avenger
2023-10-25,especially considering this only has a 50 kilowatthour battery,Jeep Avenger
2023-10-24,as soon as he said this one is 40 grand i stopped watching  that price is in pure lunacyland,Jeep Avenger
2023-10-24,how much should a new car cost these days especially one that is so cheap to run,Jeep Avenger
2023-10-24,usersd3ik9rt6d 30k for plasticy lowcost ev city car is about the current rate see midspec peugeot e208 by stellantis for comparison,Jeep Avenger
2023-10-24,it costs 1100 for any metallic colour on the model he tested,Jeep Avenger
2023-10-24,usersd3ik9rt6d a midrange vw polo rline costs around 25k if fuel is 170litre and the polo does 45 mpg id need to drive 87000 miles to burn up that 15000 difference in price and thats pretending the jeep would cost nothing to charge up ever but to drive 87000 miles in the jeep at 45 mileskwh 34pkwh the electricty will cost you 6500 so perhaps the little jeep could be reasonable priced up to about 30000 maximum,Jeep Avenger
2023-10-24,i cant yet afford any of the cars fully charged review but ill still watch the whole video i mean come on its jack hes delightful,Jeep Avenger
2023-10-24,i stopped at multi energy platform these companies still designing new petrol cars this late in the game they deserve to buy all their credits from tesla in the uk,Jeep Avenger
2023-10-24,its just another overpriced  stellantis group creation ive not watched the whole video yet 257 in but youd be better off buying a second hand e208 probably be same drivetrain,Jeep Avenger
2023-10-24,origin178 you are right on paper but look at energy prices over the last 10 years if governments werent subsidizing fossil fuels or stop doing it how much would you be willing to pay to go electric,Jeep Avenger
2023-10-24,origin178 youre 100 right would take the average user 8 years to recoup the cost of electric version assuming they get free electricity for life lol im all for electric cars but they are ridiculously overpriced 40k for an urban car the size of a fiesta where are folk finding all this money from,Jeep Avenger
2023-10-24,why buy a fiat at tesla prices,Jeep Avenger
2023-10-24,grow up,Jeep Avenger
2023-10-24,origin178 a midrange polo costing 25000 is obscene in itself,Jeep Avenger
2023-10-24,stellantis puts crazy prices on their cars then they have to put huge discounts to sell,Jeep Avenger
2023-10-24,exactly the price is ridiculous for a bsegment crossover its one big piece of plastic,Jeep Avenger
2023-10-24,origin178true but money isnt everything you just cant compare the driving experience of any half decent ev with a polo for 25k you can get a used ev instead and then you dont put another vehicle on the road that will spew out exhausts for the next 1520 years,Jeep Avenger
2023-10-24,that number is even worse when converted into usd at 48600 or 66800 cad  the average cost of a new car in the us is around 45000 or around 60000 in canada,Jeep Avenger
2023-10-24,covid is over stellatis cars now sell new for 30 off,Jeep Avenger
2023-10-24,i agree you can get a volvo ex30 for a few grand cheaper like whattt,Jeep Avenger
2023-10-25,what  40k   youre joking 1140,Jeep Avenger
2023-10-25,at some point fully charged will have to make objective car reviews the every electric car is wonderful type reviews are wearing a bit thin now people buying an electric car are aware of the benefits and need real reviews,Jeep Avenger
2023-10-25,im not a fan ,Jeep Avenger
2023-10-25,there are cheaper models,Jeep Avenger
2023-10-25,the refreshed tesla model 3 also now starts at a shade under 40k and my goodness do you get more for your money,Jeep Avenger
2023-10-25,ps anyone know what he said under the cough at 1052,Jeep Avenger
2023-10-25,origin17834p  youre living in cloud cuckoo land,Jeep Avenger
2023-10-25,are you including the oil and filter changes and all the other mechanical fixes fan belts mufflers exhaust etc,Jeep Avenger
2023-10-25,biodieseler1volkswagen ,Jeep Avenger
2023-10-27,absolutely  for whats basically a fiat,Jeep Avenger
2023-10-28,"its lovely on outside feels v bog standard on inside tho having proper buttons is a big plus 

biggest downer is that this is not a pure ev so the room is poor and you will be able to get the same car for 1015k less with an engine which would be gutting",Jeep Avenger
2023-10-28,comments like this annoy me how about comparing apples with apples how much does a comparable vw ev cost oh thats right  the vw evs pale in comparison to this except for the buzz van which costs over twice as much,Jeep Avenger
2023-10-29,"origin178incorrect most evs are charged at home at night when rates are far lower also the gas would be triple or quadruple in cost and the cost of gas tends to increase more over time

ice vehicles typically cost more for maintenance and repairs though also factor in the costs of air pollution that is toxic to humans and greater carbon emissions from fossil fuels for climate change impacts and ev is much more economical then add the cost of disastrous oil spills from the oil and gas industry and the ev wins with ease",Jeep Avenger
2023-10-29,kenzohkw its all incorrect total cost of ownership can be less,Jeep Avenger
2023-10-29,jakerichardsong yes it can be less but thats not a good enough it should be less but it wont be for a long time for the average consumer over time itll become more affordable for the general population like most things but at the moment it does not provide an immediate benefit for those that need it most and cannot afford to replace their exisiting ice vehicles,Jeep Avenger
2023-10-30,"1st edition was 37500 but there were only 2000 of them

on the road prices as of oct 23 are still high but its only the top one thats a tad under 40k
base spec 35700  longitude
mid spec 37400  altitude 
top spec 39600  summit",Jeep Avenger
2023-10-30,"jvoric on paper yes but the e208s range is approx 34s that of the jeep and the e208s efficiency per kwh is approx 15 less compared to the jeep im not a jeep fan but if running costs are quite a bit more id take the jeep having said that the features you get for the price are not that great there an optional pack for this and an optional for that you even need to pay extra for the emergency tyre puncture kit 25

then theres pay for optional extras for led front lights led rear lights heated seats rubber mats including that flippy cover front fog lights and the lists go on

second thoughts youre correct the avenger is just too much for what little you get as standard",Jeep Avenger
2023-10-30,reggiebuffat that says it all right there though im not a fan of nearly everything via menus,Jeep Avenger
2023-11-05,holy moly so much plastic for 40k,Jeep Avenger
2023-11-18,totally agree with you 40k for this toy if hed said 32k id have thought it was expensive but about the going rate 40k is ridiculous electric is only cheap to run while your government allows it once we all have it theyll ramp the cost up make hay while the sun shines as they say,Jeep Avenger
2023-11-30,sbomorsethats some expensive paint,Jeep Avenger
2023-12-17,"the volvo ex30 is made in china
the jeep avenger is made in poland",Jeep Avenger
2024-01-17, 40 k,Jeep Avenger
2024-03-24,dont worry it went down to 30k on the jeep website,Jeep Avenger
2024-06-08,one price upfront another behind we will see what it will really cost,Jeep Avenger
2023-10-24,the solution for the price problem make the chinese evs expensive by issueing 50 import tax for them that wont make eu cars cheaper but at least makes them competitive,Jeep Avenger
2023-10-24,my fiat 500e has propper onepedal driving,Jeep Avenger
2023-10-24,for normal people 5mileskwh is 12kwh100km,Jeep Avenger
2023-10-24,i prefer kmkwh myself you just have to multiply it by the net battery capacity to figure out the range,Jeep Avenger
2023-10-24,thank you,Jeep Avenger
2023-10-24,how is that easier,Jeep Avenger
2023-10-24,my vivaro e life 8 seater bus 3000kg does 29mile per kw this car is half the size should do minimum 6kw mile,Jeep Avenger
2023-10-25,manikdesign it might be half the size but its not half the frontal area which has a massive impact on range and efficiency at speed,Jeep Avenger
2023-10-25,because more numbers is easier,Jeep Avenger
2023-10-24,i dont know what you coughed,Jeep Avenger
2023-10-24,came here to see if anyone does know,Jeep Avenger
2023-10-24,the cough was to mask the initials vw,Jeep Avenger
2023-10-24,johnnodge4327   thx,Jeep Avenger
2023-10-24,im sure its a very good car like most stellantis cars unfortunately its a jeep in name only it has the ground clearance of a turtle now an electric suzuki jimny or swb pajero would be great,Jeep Avenger
2023-10-26,the jimny could only fit a small battery so wont really be viable,Jeep Avenger
2023-10-26,ajackofspades most evs have a much larger battery capacity than is required to complete the vast majority of journeys its mostly down to marketing that cars come with a lot more than 60kwh capacity even a 40kwh battery would more than cater for most jimny drives theyre not long distance cruisers,Jeep Avenger
2023-10-24,what a fabulous review,Jeep Avenger
2023-10-24,wish theyd sell this in the us,Jeep Avenger
2023-10-24,jeep recon is coming just below the wrangler basically,Jeep Avenger
2023-10-24,but will you guys buy it  isnt the us still about big big and bigger ,Jeep Avenger
2023-10-24,nisseohlsenbelieve you are right us people wont buy it,Jeep Avenger
2023-10-24,actually i think there is already a demand for this in the us,Jeep Avenger
2023-10-24,nisseohlsenwe need them,Jeep Avenger
2023-10-24,pottery4life in this world or in an ideal one ,Jeep Avenger
2023-10-31,dont you like americans,Jeep Avenger
2023-10-24,arent all those brands known for not great reliability lol   saying that though i like the looks of the car and the fact its small and electric is good,Jeep Avenger
2023-10-24,my friend has an 8v fiat punto that he bought second hand for the equivalent of 4500 euros its done more than 280000 kilometers more than 150000 since my friend bought it 3 years ago its never let him down and worn parts are dirt cheap to replace id call that incredible value for money operating costs are largely gas and insurance which is dirt cheap as well since the engine is only a 12 liter  plus he gets great gas mileage,Jeep Avenger
2023-10-24,nisseohlsen nice anecdote shame it means literally nothing in reality,Jeep Avenger
2023-10-24,kristoffer3000 so you think that reality means nothing in reality ,Jeep Avenger
2023-10-24,jeep is a top offroad brand as in you see them pulled off to the side of the road all the time because they broke down,Jeep Avenger
2023-10-24,speedstrn this platform is tried and tested the peugeot e208 and the opel corsa electric have run it for more than 3 years with tremendous success,Jeep Avenger
2023-10-24,speedstrn haha  nice seems to me that a lot american car brands has problems lately especially with their ev versions of cars,Jeep Avenger
2023-10-24,nisseohlsentremendous success as in a corsa e is half its new price at 24 months and 18k miles old if you can get one of those for 15k why buy this one at 40k to lose 20k in 3 years i think the key strategy here is salary sacrificebusiness lease,Jeep Avenger
2023-10-24,your spelling of landrover is incorrect,Jeep Avenger
2023-10-24,nisseohlsenwho cares that means nothing,Jeep Avenger
2023-10-25,ssyw7vo  to some 50 million italians it does,Jeep Avenger
2023-10-25,andyvalentine1243  funny thats not the case here in denmark at all where are you at ,Jeep Avenger
2023-10-25,nisseohlsen a platform great on one car doesnt guarantee it is on another,Jeep Avenger
2023-10-25,"reliability is not actually reliability it is true that for instance french and italian car brands are not known for reliability but for their cheap price and low upkeep costs
on the other hand german brands are also not known for reliability these are mostly luxury cars requiring high maintenance thus high upkeep costs
japanese car brands are actually known for reliability like cars running 100000 km without maintenance and without anything breaking
but with evs where many mechanical components are gone the reliability is likely to shift a lot 
there are different expectations on what reliability means is the german car reliable because you spend a lot of time and money to ensure that it operates properly or is the japanese definition more to your expectation of reliability where a car just operates properly for a very long time without you having to spend time andor money to make sure it is working properly
it would be easy to say that most people might favor the japanese way but in germany that is not the case japanese cars are almost nonexistent here even though they dominate many other markets this is because there are people who define reliability in the sense of the german car example and they want the luxury these cars promise",Jeep Avenger
2023-10-25,never ever ever buy a jeep they literally have the worst customer satisfaction in the world they are unreliable  if you get a lemon even in the unlikely event that the dealer wants to do the right thing corporate jeep definitely wont avoid this company at all costs,Jeep Avenger
2023-10-26,rardingo what nonsense this jeep is directly based on the peugeot e2008 meaning it is on a totally different platform and shares absolutely zero parts with other jeep models the only thing people should be avoiding is the bullshit stereotyping from those that no nothing about it,Jeep Avenger
2023-11-04,bw1376 i think he talks about jeep before the stellantis era had an older one with a 52 litre v8 very nice car built quality wasnt very good but for me it was reliable and comfortable and it was strong could pull an overloaded trailer out of the forest without problems after stellantis got them i dont know how good they are but with the new engines i wasnt interested to buy one i remember i was to the technical inspection and he looked at the rusty brake line and wasnt sure about it he called for the workmate that had more experience with american cars and asked what he thinks he only said look how thick that brake line is compared to european cars there is enough material no problem i think under stellantis control this brake lines will be thinner,Jeep Avenger
2023-11-04,stoapfalzrunden4150 we are now only seeing stellantis having an impact on newer models even the dodge hornet was an old fca project,Jeep Avenger
2023-10-24,love this review,Jeep Avenger
2023-10-24,"sooit just needs to be 22000and it would be fantastic
however",Jeep Avenger
2023-10-24,how much do you think new cars built in western factories that pay their employees properly,Jeep Avenger
2023-10-24,usersd3ik9rt6d none of them pay their employees properly thats literally core to capitalism,Jeep Avenger
2023-10-24,wait 5 years more or so and it will be this price,Jeep Avenger
2024-01-26,usersd3ik9rt6d  its not communism  if customer is not satisfied nobody cares how much western factories pay to employees,Jeep Avenger
2023-10-24,i dont know if that was free music at 155 but metronomy might want to give it a listen as it seems to borrow heavily from the look,Jeep Avenger
2023-10-24,i completely disagree similar rhythm  but thats all,Jeep Avenger
2023-10-24,vfrrideroh come on each grouping of notes starts with a slightly discordant synth note followed by a set of short notes in a very similar rhythm its very clearly based on it it comes on again around 940 and its clear there too,Jeep Avenger
2023-10-24,what a teaser,Jeep Avenger
2023-10-24,no news abut your scam giveaway,Jeep Avenger
2023-10-24,an excellent question,Jeep Avenger
2023-10-24,"come on guyswhere is the review of the citroen c3 ev  
finally
an ev which is a sensibly sized sensibly pricedproper normal car with doorsand a hatchbackand four wheels which isnt chinese
sosomething which normal people might actually want to buy
where is the review",Jeep Avenger
2023-10-24,that car is basically the same as this one the only real difference is the looks and the price the citroen starts at 26k where im from while this jeep is just 24000,Jeep Avenger
2023-10-24,thursday,Jeep Avenger
2023-10-24,nope i think they are based on different modules,Jeep Avenger
2023-10-24,so comparing to sister cars how is this better choice than peugeot peugeot is nicer designed inside and outside so what makes this more interesting,Jeep Avenger
2023-10-24,i also think that 2008 might be better maybe we have to test compare ourselves,Jeep Avenger
2023-10-24,"all stellantis has 0kg towing weight uselessat least opel 0kg on the roof
125 kwh100km",Jeep Avenger
2023-10-24,ive been driving for over 40 years and never needed or wanted to tow a thing most of us dont sorry it wouldnt work for you but,Jeep Avenger
2023-10-24,"zoe also doesnt have towing from factory i have installed the zoekupplung from wolf mechanik near erding in germany
its 750kg tow capacity now thats nice i have needed it multiple times already
do these aftermarket solutions not exist for other cars",Jeep Avenger
2023-10-24,in the uk at least the zoe is not approved to tow so insurance here would not cover it towing also potentially invalidates the manufacturers warranty i assume youve checked thats not the case where you are mrkoenigma,Jeep Avenger
2023-10-24,mrirbee why would not want to tow anything are you incapable,Jeep Avenger
2023-10-25,no melbournes4x never had the need to i also dont juggle garden knit and many many other things ability has nothing to do with it i dont want to  i derive no benefit from doing so,Jeep Avenger
2023-10-24,"wanted to be the first comment
nice video as always",Jeep Avenger
2023-10-24,loki,Jeep Avenger
2022-11-28,another cracking review vicky  i always enjoy your reviews,Jeep Avenger
2022-11-30,its really great to see diversity in a traditionally mens domain good on you girl your dad would be proud,Jeep Avenger
2023-11-05,a jeep with a towing capacity of zero,Jeep Avenger
2023-08-21,chuckling at the safety rating is no joke it just shows how little effort and value is put on customers lives and for that i give  jeep and the reviewer very little care safety should be the priority period wont support again,Jeep Avenger
2023-05-29,excellent review,Jeep Avenger
2023-05-29,very smart addition of the heat pump could have done with 4x4  rear wheel drive or a panoramicsunroof option im also hearing rumours of the ambient lighting will not be released on uk models nonetheless i feel that none of the above will be real deal breakers jeep have really tried on their first ev instalment they could be onto a winner  ,Jeep Avenger
2023-05-27,i just created a top spec avenger on their website and even the top spec doesnt have sat nav its an extra 500 so its not standard on any trim level and no massage seat options either as with all jeeps over the last 10 years sadly its very plasticy inside and i mean cheap and nasty scratchy stuff and at over 40k i would expect some soft touch inside,Jeep Avenger
2023-04-05,front wheel towing a battery and vehicle weight behind is a bad idea for noneuropean markets,Jeep Avenger
2023-04-04,great car for singles i would love to have one but unfortunately with children i will have to look elsewhere ridiculous in 2023 not to use the interior space in a more clever way even if at least the back seats would scroll back for more back leg rooms would solve the issue i guess families is not the target group which is such a pitty,Jeep Avenger
2023-03-31,ive owned my jeep for almost 20 years and i love this thing there is a 4x4 version coming the looks of it knock this one out of the park but jeep is smart to release this one first to avoid sticker shock this one to me looks like a smaller us version of the compass which i also have and love,Jeep Avenger
